,action,frame,ball_x,ball_y,player_h1x,player_h1y,player_a1x,player_a1y,player_h2x,player_h2y,player_a2x,player_a2y,player_h3x,player_h3y,player_a3x,player_a3y,player_h4x,player_h4y,player_a4x,player_a4y,player_h5x,player_h5y,player_a5x,player_a5y
111,2,11,37.372,27.53,13.628,47.486,16.028,42.251,29.388,35.685,27.673,34.436,36.476,26.728,22.078,29.759,25.658,14.316,27.524,23.884,29.521,30.75,18.549,20.191
112,2,12,37.326,28.894,13.151,47.314,16.011,41.987,30.049,34.924,28.166,33.77,36.417,27.635,21.551,29.748,25.259,14.322,27.859,24.649,28.997,30.375,18.355,19.715
113,2,13,37.559,29.65,12.667,47.157,15.905,41.736,30.666,34.239,28.628,33.053,36.307,28.601,21.047,29.769,24.898,14.407,27.983,25.442,28.531,30.021,18.223,19.258
114,2,14,37.637,30.339,12.19,47.109,15.666,41.512,31.205,33.37,29.166,32.384,36.208,29.756,20.574,29.758,24.537,14.538,27.855,26.181,27.97,29.648,18.276,18.833
115,2,15,37.193,31.854,11.674,47.13,15.329,41.386,32.207,32.607,29.572,31.682,35.928,30.849,20.158,29.706,24.389,14.791,27.615,26.99,27.399,29.215,18.473,18.471
116,2,16,36.056,33.624,11.09,47.145,14.883,41.334,32.864,31.763,30.128,31.097,35.64,31.994,19.786,29.608,24.344,15.126,27.385,27.675,26.907,28.992,18.714,18.193
117,2,17,35.705,35.167,10.465,47.162,14.374,41.308,33.502,30.853,30.556,30.34,35.176,33.141,19.456,29.417,24.302,15.413,27.291,28.334,26.411,28.945,18.968,18.024
118,2,18,35.517,35.667,9.8276,47.084,13.859,41.28,34.202,30.038,30.949,29.488,34.63,34.259,19.152,29.221,24.279,15.663,27.226,29.113,25.776,28.896,19.12,17.978
119,2,19,34.934,36.765,9.2695,46.997,13.345,41.177,34.332,28.986,31.314,28.547,34.093,35.431,18.904,29.049,24.166,15.952,26.998,29.692,25.132,29.09,19.197,18.037
120,2,20,33.548,37.788,8.7943,46.998,12.817,41.022,34.754,27.865,31.649,27.46,33.448,36.487,18.73,28.914,24.062,16.272,26.777,30.734,24.373,29.019,19.234,18.236
121,2,21,32.439,39.337,8.3333,46.972,12.236,40.84,34.963,26.784,32.022,26.46,32.734,37.414,18.622,28.808,24.055,16.758,26.46,31.892,23.492,28.834,19.24,18.574
